id,bgg_id,title,description,minplayers,maxplayers,minplaytime,maxplaytime,age_recommendation,complexity,year_published,more_info
11,366013,"Heat: Pedal to the Metal","Based on simple and intuitive hand management, Heat: Pedal to the Metal puts players in the driver's seat of intense car races, jockeying for position to cross the finish line first, while managing their car's speed if they don't want to overheat. Selecting the right upgrades for their car will help them hug the curves and keep their engine cool enough to maintain top speeds. Ultimately, their driving skills will be the key to victory!&lt;br/&gt;&lt;br/&gt;Drivers can compete in a single race or use the &amp;quot;Championship System&amp;quot; to play a whole season in one game night, customizing their car before each race to claim the top spot of the podium. They have to be careful as the weather, road conditions, and events will change every race to spice up their championship. Players can also enjoy a solo mode with the Legends Module or add automated drivers as additional opponents in multiplayer games.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,6,30,60,10,2.1694,2022,"https://boardgamegeek.com/boardgame/366013/heat: pedal to the metal"
12,342942,"Ark Nova","In Ark Nova, you will plan and design a modern, scientifically managed zoo. With the ultimate goal of owning the most successful zoological establishment, you will build enclosures, accommodate animals, and support conservation projects all over the world. Specialists and unique buildings will help you in achieving this goal.&lt;br/&gt;&lt;br/&gt;Each player has a set of five action cards to manage their gameplay, and the power of an action is determined by the slot the card currently occupies. The cards in question are:&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;    CARDS: Allows you to gain new zoo cards (animals, sponsors, and conservation project cards).&lt;br/&gt;    BUILD: Allows you to build standard or special enclosures, kiosks, and pavilions.&lt;br/&gt;    ANIMALS: Allows you to accommodate animals in your zoo.&lt;br/&gt;    ASSOCIATION: Allows your association workers to carry out different tasks.&lt;br/&gt;    SPONSORS: Allows you to play a sponsor card in your zoo or to raise money.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;255 cards featuring animals, specialists, special enclosures, and conservation projects, each with a special ability, are at the heart of Ark Nova. Use them to increase the appeal and scientific reputation of your zoo and collect conservation points.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,4,90,150,14,3.7276,2021,"https://boardgamegeek.com/boardgame/342942/ark nova"
13,365258,"World Wonders","Take on the role of the great leaders of the past to build your own Ancient City.&lt;br/&gt;&lt;br/&gt;Each player will use their Gold each round to build tiles that will increase their city's economy. A city that produces more food and generates commerce brings more population. Make your city grow!&lt;br/&gt;&lt;br/&gt;There are 5 types of buildings, and each of them provides a type of resource that will make your city evolve from a simple settlement to the largest city in the  world. If your buildings are completely enclosed from all sides, you've created a very well-planned city block. This will earn you a lot of points.&lt;br/&gt;&lt;br/&gt;To place new buildings to your city, you will also need a lot of roads. Adjacency with roads will allow you to place buildings further away from the map. This will reach natural resources, which in addition to other benefits, bring victory points.&lt;br/&gt;&lt;br/&gt;As important as the buildings, are its monuments and wonders tokens. This will bring you a lot of victory points, but will consume all your Gold. Be wise in choosing when and where to place it. Each monument requires buildings, roads, natural resources or even water in its adjacency to be placed. It won't be easy to fit them into your city, but the benefits will be great.&lt;br/&gt;&lt;br/&gt;If your Gold runs out, your turn is also over. Once all players have spent their Gold, a new round will begin and new buildings and roads will be available to everyone.&lt;br/&gt;&lt;br/&gt;In the end, as soon as a player reaches the maximum population limit, the leader of the best city in the ancient world will be the winner of World Wonders!&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,5,50,70,12,2.4286,2023,"https://boardgamegeek.com/boardgame/365258/world wonders"
14,363622,"The Castles of Burgundy: Special Edition","Castles of Burgundy is a legendary Board Game design created by Stefan Feld. In this 1-4 players tabletop experience, you will take on the role of an aristocrat controlling a small princedom. Trying to build a settlement with powerful castles, practice trades, exploit silver mines, and use the knowledge of travelers.&lt;br/&gt;Now, this timeless game is coming back with an extremely polished, high-end special edition resulting from a collaboration between Ravensburger and Awaken Realms.&lt;br/&gt;&lt;br/&gt;In this special edition, you can expect a complete re-design of art and layout to ensure that every piece will have great art and enhance in-game usability. Only the best materials (cardboard, cart paper, box, insert, etc.) will be used to provide endurance, and a premium feel. Many extra components will bring the gaming experience to the next level, such as double-layered player boards, special bags for hexes, 30% bigger tiles, or metal coins.&lt;br/&gt;&lt;br/&gt;The Castles of Burgundy is set in the Burgundy region of High Medieval France. Each player takes on the role of an aristocrat, originally controlling a small princedom. While playing, they aim to build settlements and powerful castles, practice trade along the river, exploit silver mines, and use the knowledge of travelers.&lt;br/&gt;&lt;br/&gt;The game is about players taking settlement tiles from the game board and placing them into their princedom, which is represented by a Duchy board that is placed in the Player board.&lt;br/&gt;&lt;br/&gt;",1,4,70,120,12,2.9355,2023,"https://boardgamegeek.com/boardgame/363622/the castles of burgundy: special edition"
15,224517,"Brass: Birmingham","Brass: Birmingham is an economic strategy game sequel to Martin Wallace' 2007 masterpiece, Brass. Brass: Birmingham tells the story of competing entrepreneurs in Birmingham during the industrial revolution, between the years of 1770-1870.&lt;br/&gt;&lt;br/&gt;As in its predecessor, you must develop, build, and establish your industries and network, in an effort to exploit low or high market demands.&lt;br/&gt;&lt;br/&gt;Each round, players take turns according to the turn order track, receiving two actions to perform any of the following actions (found in the original game):&lt;br/&gt;&lt;br/&gt;1) Build - Pay required resources and place an industry tile.&lt;br/&gt;2) Network - Add a rail / canal link, expanding your network.&lt;br/&gt;3) Develop - Increase the VP value of an industry.&lt;br/&gt;4) Sell - Sell your cotton, manufactured goods and pottery.&lt;br/&gt;5) Loan - Take a &amp;pound;30 loan and reduce your income.&lt;br/&gt;&lt;br/&gt;Brass: Birmingham also features a new sixth action:&lt;br/&gt;&lt;br/&gt;6) Scout - Discard three cards and take a wild location and wild industry card. (This action replaces Double Action Build in original Brass.)&lt;br/&gt;&lt;br/&gt;The game is played over two halves: the canal era (years 1770-1830) and the rail era (years 1830-1870). To win the game, score the most VPs. VPs are counted at the end of each half for the canals, rails and established (flipped) industry tiles.&lt;br/&gt;&lt;br/&gt;Birmingham features dynamic scoring canals/rails. Instead of each flipped industry tile giving a static 1 VP to all connected canals and rails, many industries give 0 or even 2 VPs. This provides players with the opportunity to score much higher value canals in the first era, and creates interesting strategy with industry placement.&lt;br/&gt;&lt;br/&gt;Iron, coal, and cotton are three industries which appear in both the original Brass as well as in Brass: Birmingham.&lt;br/&gt;&lt;br/&gt;New &amp;quot;Sell&amp;quot; system&lt;br/&gt;&lt;br/&gt;Brewing has become a fundamental part of the culture in Birmingham. You must now sell your product through traders located around the edges of the board. Each of these traders is looking for a specific type of good each game. To sell cotton, pottery, or manufactured goods to these traders, you must also &amp;quot;grease the wheels of industry&amp;quot; by consuming beer. For example, a level 1 cotton mill requires one beer to flip. As an incentive to sell early, the first player to sell to a trader receives free beer.&lt;br/&gt;&lt;br/&gt;Birmingham features three all-new industry types:&lt;br/&gt;&lt;br/&gt;Brewery - Produces precious beer barrels required to sell goods.&lt;br/&gt;&lt;br/&gt;Manufactured goods - Function like cotton, but features eight levels. Each level of manufactured goods provides unique rewards, rather than just escalating in VPs, making it a more versatile (yet potentially more difficult) path vs cotton.&lt;br/&gt;&lt;br/&gt;Pottery - These behemoths of Birmingham offer huge VPs, but at a huge cost and need to plan.&lt;br/&gt;&lt;br/&gt;Increased Coal and Iron Market size - The price of coal and iron can now go up to &amp;pound;8 per cube, and it's not uncommon.&lt;br/&gt;&lt;br/&gt;Brass: Birmingham is a sequel to Brass. It offers a very different story arc and experience from its predecessor.&lt;br/&gt;&lt;br/&gt;",2,4,60,120,14,3.8921,2018,"https://boardgamegeek.com/boardgame/224517/brass: birmingham"
16,316554,"Dune: Imperium","Some important links: The Official FAQ, the Unofficial FAQ, and an Automa (solo and 2p) Overview&lt;br/&gt;&lt;br/&gt;Dune: Imperium is a game that finds inspiration in elements and characters from the Dune legacy, both the new film from Legendary Pictures and the seminal literary series from Frank Herbert, Brian Herbert, and Kevin J. Anderson.&lt;br/&gt;&lt;br/&gt;As a leader of one of the Great Houses of the Landsraad, raise your banner and marshal your forces and spies. War is coming, and at the center of the conflict is Arrakis &amp;ndash; Dune, the desert planet.&lt;br/&gt;&lt;br/&gt;Dune: Imperium uses deck-building to add a hidden-information angle to traditional worker placement.&lt;br/&gt;&lt;br/&gt;You start with a unique leader card, as well as a deck identical to those of your opponents.  As you acquire cards and build your deck, your choices will define your strengths and weaknesses. Cards allow you to send your Agents to certain spaces on the game board, so how your deck evolves affects your strategy. You might become more powerful militarily, able to deploy more troops than your opponents. Or you might acquire cards that give you an edge with the four political factions represented in the game: the Emperor, the Spacing Guild, the Bene Gesserit, and the Fremen.&lt;br/&gt;&lt;br/&gt;Unlike many deck-building games, you don&amp;rsquo;t play your entire hand in one turn. Instead, you draw a hand of cards at the start of every round and alternate with other players, taking one Agent turn at a time (playing one card to send one of your Agents to the game board). When it&amp;rsquo;s your turn and you have no more Agents to place, you&amp;rsquo;ll take a Reveal turn, revealing the rest of your cards, which will provide Persuasion and Swords. Persuasion is used to acquire more cards, and Swords help your troops fight for the current round&amp;rsquo;s rewards as shown on the revealed Conflict card.&lt;br/&gt;&lt;br/&gt;Defeat your rivals in combat, shrewdly navigate the political factions, and acquire precious cards. The Spice must flow to lead your House to victory!&lt;br/&gt;&lt;br/&gt;",1,4,60,120,14,3.0236,2020,"https://boardgamegeek.com/boardgame/316554/dune: imperium"
17,331106,"The Witcher: Old World","In The Witcher: Old World, you become a witcher &amp;mdash; a professional monster slayer &amp;mdash; and immerse yourself in the legendary universe of The Witcher franchise.&lt;br/&gt;&lt;br/&gt;Set years before the saga of Geralt of Rivia, The Witcher: Old World explores a time when monsters roamed the Continent in greater numbers, creating a constant peril that required the attention of expertly trained monster slayers, known as witchers. Five competing schools trained their adepts through brutal regimes, and once fully prepared, these now-recognized witchers set off to explore the land, seeking trouble and adventures and helping others for coin.&lt;br/&gt;&lt;br/&gt;In this competitive adventure board game, 2-5 players travel across a vast map, embarking on masterfully penned quests, encountering and making ambiguous moral choices, fighting monsters &amp;mdash; and sometimes brawling with other witchers to defend their school's honor!&lt;br/&gt;&lt;br/&gt;The game lets players construct their own unique decks of cards by choosing from a wide range of abilities: attacks, dodges, and witcher combat magic &amp;mdash; known as &amp;quot;signs&amp;quot;. Through card synergy, players aim to achieve powerful combos as they utilize their witcher school's hallmark abilities to their full potential. Quests, battles, and even dice poker allow each player to earn money, obtain new items, and train their skills.&lt;br/&gt;&lt;br/&gt;The first player to acquire 4-6 trophies, with the number being set at the start of play, wins the game instantly. You can obtain trophies by killing monsters, instigating and winning chaotic tavern brawls against another witcher, training attributes to their highest level, and resolving certain quests throughout their adventure.&lt;br/&gt;&lt;br/&gt;The game will include a Solo Mode that will allow for a solitaire adventure on the Continent.&lt;br/&gt;&lt;br/&gt;",1,5,90,150,14,2.8797,2023,"https://boardgamegeek.com/boardgame/331106/the witcher: old world"
18,162886,"Spirit Island","In the most distant reaches of the world, magic still exists, embodied by spirits of the land, of the sky, and of every natural thing. As the great powers of Europe stretch their colonial empires further and further, they will inevitably lay claim to a place where spirits still hold power - and when they do, the land itself will fight back alongside the islanders who live there.&lt;br/&gt;&lt;br/&gt;Spirit Island is a complex and thematic cooperative game about defending your island home from colonizing Invaders. Players are different spirits of the land, each with its own unique elemental powers. Every turn, players simultaneously choose which of their power cards to play, paying energy to do so. Using combinations of power cards that match a spirit's elemental affinities can grant free bonus effects. Faster powers take effect immediately, before the Invaders spread and ravage, but other magics are slower, requiring forethought and planning to use effectively. In the Spirit phase, spirits gain energy, and choose how / whether to Grow: to reclaim used power cards, to seek for new power, or to spread presence into new areas of the island.&lt;br/&gt;&lt;br/&gt;The Invaders expand across the island map in a semi-predictable fashion. Each turn they explore into some lands (portions of the island); the next turn, they build in those lands, forming settlements and cities. The turn after that, they ravage there, bringing blight to the land and attacking any native islanders present. The islanders fight back against the Invaders when attacked, and lend the spirits some other aid, but may not always do so exactly as you'd hoped. Some Powers work through the islanders, helping them (eg) drive out the Invaders or clean the land of blight.&lt;br/&gt;&lt;br/&gt;The game escalates as it progresses: spirits spread their presence to new parts of the island and seek out new and more potent powers, while the Invaders step up their colonization efforts. Each turn represents 1-3 years of alternate-history. At game start, winning requires destroying every last settlement and city on the board - but as you frighten the Invaders more and more, victory becomes easier: they'll run away even if some number of settlements or cities remain. Defeat comes if any spirit is destroyed, if the island is overrun by blight, or if the Invader deck is depleted before achieving victory.&lt;br/&gt;&lt;br/&gt;The game includes different adversaries to fight against (eg: a Swedish Mining Colony, or a Remote British Colony). Each changes play in different ways, and offers a different path of difficulty boosts to keep the game challenging as you gain skill.&lt;br/&gt;&lt;br/&gt;",1,4,90,120,13,4.0624,2017,"https://boardgamegeek.com/boardgame/162886/spirit island"
19,350184,"Earth","Earth, the soil that supports and sustains our beautiful planet, Earth. Over thousands of years of evolution and adaptation the flora and fauna of this unique planet have grown and developed into amazing life forms, creating symbiotic ecosystems and habitats.&lt;br/&gt;&lt;br/&gt;It&amp;rsquo;s time to jump into these rich environments and create some amazing natural synergies that replicate and extrapolate on Earth&amp;rsquo;s amazing versatility and plethora of natural resources. Create a self-supporting engine of growth, expansion and supply where even your unused plants become compost for future growth.&lt;br/&gt;&lt;br/&gt;Earth is an open world engine builder for 1 to 5 players with simple rules but tons of strategic possibilities. With its encyclopedic nature and the enormous number of unique cards and combinations, every single game will allow you to discover new synergies and connections, just as our vast and fascinating world allows us to do!&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,5,45,90,13,2.8733,2023,"https://boardgamegeek.com/boardgame/350184/earth"
20,183685,"Mr. President: The American Presidency, 2001-2020","Mr. President is a solitaire game about governing as the President of the United States. It's not an election game. It begins after you've been elected. It's about sitting in The Chair and trying to advance your agenda while navigating ongoing crises, political enemies, public opinion, your relations with Congress and the press, and keeping your country secure in a world of rival nations and agendas that just seems to keep blowing up around you. Mr. President is a resource management game, where you never have enough resources to achieve your entire agenda, and the path you take through an always unpredictable storyline rests on the choices you make. Depending on the results of those choices, and on the unfolding of a &amp;quot;different every game&amp;quot; story, you'll either be thinking &amp;quot;POTUS? Piece of Cake!&amp;quot; or &amp;quot;Why was it that I WANTED this job?&amp;quot; many times in each game.&lt;br/&gt;&lt;br/&gt;Like the actual President, you'll have an array of allies and resources to help you as you navigate both the corridors of power in the nation's capital and the uncertainties of international relations. These allies and resources will vary from game to game, but you'll always be able to rely on your Secretary of State and Secretary of Defense to help you with foreign policy and with the use, where you deem necessary, of the combat power of the U.S. military. You'll also have a bevy of domestic advisors and friends in Congress to help you navigate the many challenges in Congress and domestic life and politics. And you'll always have access to at least one truly exceptional talent (this, too, will vary from game to game), someone who excels in their particular job and is a &amp;quot;force multiplier&amp;quot; for you in their own unique way. How you lead and utilize this mix of talents and experience at your disposal will go a long way toward determining your success or failure during your shot at being Mr. President.&lt;br/&gt;&lt;br/&gt;Game Play&lt;br/&gt;&lt;br/&gt;The Map. The game map allows you to see and track the domestic and world situation that the game creates. It is divided into sections:&lt;br/&gt;&lt;br/&gt;1. Congress. This is where you track progress of legislation, as well as keep track of your friends and opponents in Congress.&lt;br/&gt;&lt;br/&gt;2. Advisors and Assets. This section of the map is a holding area for all of your advisors, available action points, and military assets.&lt;br/&gt;&lt;br/&gt;3. Crisis Management. This is where you manage the Crisis Cards and keep track of crisis status and how well you've dealt with each crisis.&lt;br/&gt;&lt;br/&gt;4. The World portion of the map (about half of the map) is divided into eight world regions, with additional sections for Russia and China (your key potential antagonists in the game). Here's a look at the South America Region, as an example of the regional displays:&lt;br/&gt;&lt;br/&gt;Crisis Cards. At the heart of Mr. President are the 150+ Crisis Cards that help create the storyline for each game. These cards - see the 12 sample cards on this page - are a mix of cards representing Domestic or World Crises, Terrorism Events, Unexpected Benefits, and Opportunities. The Crisis Cards help drive, but do not completely control, the storyline in each game. Here's how it works:&lt;br/&gt;&lt;br/&gt;Each game of Mr. President is divided into eight turns, each representing six months in office. These turns are further divided into six Rounds, each representing one month.&lt;br/&gt;&lt;br/&gt;At the start of each turn, you get to perform assessment and planning actions, where you get to lay out your rough plan, re-examine strategy, re-evaluate the threats and opportunities that were presenting as the previous turn ended (or at game start). So there is definitely a proactive strategy piece to the game. Unfortunately, though, your plans are not often going to survive intact once the turn gets going. The world stage is a dynamic platform.&lt;br/&gt;&lt;br/&gt;Once you have your plans made (and the Mr. President gods laugh at you!), you perform the six monthly rounds in order. During each round, you draw three Crisis Cards that represent that main world or domestic events that happen (these are usually bad from your point of view, but occasionally they are events or resources that help you) during that month. Most of the events on the Crisis Cards present you with both an urgent problem that may immediately alter the board state, and a longer term issue that may linger and cause you pain down the road if you don't address it well.&lt;br/&gt;&lt;br/&gt;After you flip and resolve the three Crisis Cards for the round, you get to take actions, using any of your available personnel and resources. These actions allow you  to make progress on your legislative agenda, attempt to address any new crises presented by the round's three actions cards, deal with any lingering world or domestic issues, fight terrorism, perform diplomacy, and attempt to better your situation in the world or in the eyes of the American people.&lt;br/&gt;&lt;br/&gt;Once you finish your action portion of the round, that round (month) is finished, and you move on to the next round, drawing three new Crisis Cards and repeating the round process until the 6-month turn is complete.&lt;br/&gt;&lt;br/&gt;Seeded within the 18-card mix that makes up a turn, you have six cards for Russian and Chinese Actions, Terror Actions, War Progress, Crisis Checks, and White House Life. You know that each of these six cards will show up sometime during each turn, but you don't know when. The variable timing of these cards' appearance each turn adds uncertainty and spice to the game, while ensuring that major players in the game present challenges for you every single turn. Russia and China offer deeper challenges, with four possible postures (aggression levels) for each country and a country-specific AI for each. Postures may shift in-game in response to your actions or to storyline events, making dealing positively with each nation an evolving challenge all game.&lt;br/&gt;&lt;br/&gt;Please note that Mr. President is NOT a &amp;quot;beer and pretzels&amp;quot; surface-level game. This game is intended to be deep and immersive, one that will both frustrate and delight the solitaire player. Playing time is four to eight hours (depending on your experience level) to play an entire 4-year term. I've tried to pack as much fun as possible into each 6-month turn, so that even if you only have time to play one turn on a weeknight, you'll be engaged, frustrated, challenged, and immersed throughout. That said, I hope you're going to find it difficult to stop playing after each turn. I've designed Mr. President to be an experience that will wrap you up in each new game's story, and beckon you back to the game table after each round, turn, or completed game.&lt;br/&gt;&lt;br/&gt;I designed this game to provide massive replayability. With over 150 Crisis cards in the mix, and multiple subsystems representing the US Economy, Congress, Homeland Security, the Press, Presidential Prestige, Russia, China, Hostile Rogue States, and staunch Allies, no two games of Mr. President will ever play remotely alike. If you think you're ready for that challenge, go ahead. Raise your right hand and swear the oath. Then settle in behind the desk in the Oval Office, and let your imagination run wild!&lt;br/&gt;&lt;br/&gt;I hope playing Mr. President brings you as much enjoyment as designing it has brought me!&lt;br/&gt;&lt;br/&gt;- Gene&lt;br/&gt;&lt;br/&gt;Components&lt;br/&gt;&lt;br/&gt;One 5&amp;quot; deep Game Box&lt;br/&gt;    One 22&amp;quot; x 34&amp;quot; mounted game board&lt;br/&gt;    One 22&amp;quot; x 17&amp;quot; mounted game board&lt;br/&gt;    180 Cards&lt;br/&gt;    500+ counters and markers&lt;br/&gt;    One &amp;quot;How to Play&amp;quot; rulebook&lt;br/&gt;    One &amp;quot;How to Play a Turn&amp;quot; FlipBook&lt;br/&gt;    One Scenario Book&lt;br/&gt;    One World Chart Book&lt;br/&gt;    One Domestic Chart Book&lt;br/&gt;    Two Peer Competitor Action Books for Russia and China&lt;br/&gt;    Six Player Aid cards&lt;br/&gt;    One 10-sided die&lt;br/&gt;    One 6-sided die&lt;br/&gt;&lt;br/&gt;",1,1,360,600,0,4.2031,2023,"https://boardgamegeek.com/boardgame/183685/mr. president: the american presidency, 2001-2020"
21,243696,"Race to the New Found Land","Daring sailors explore the oceans and make a gigantic discovery: Newfoundland. The newly found land. A huge island off the coast of North America &amp;mdash; and right away a competition among nations breaks out. As so often happens, everyone wants the biggest piece of land. In Race to the New Found Land, you must skillfully use your fleet to consistently present achievements to your royal house. Are you quick to set sail and populate the first known lands? Do you first explore new areas? Or do you trade and build your fleet first? Find out in this exciting race to Newfoundland!&lt;br/&gt;&lt;br/&gt;",2,4,60,90,10,2.7727,2018,"https://boardgamegeek.com/boardgame/243696/race to the new found land"
22,295770,"Frosthaven","Frosthaven is the story of a small outpost far to the north of the capital city of White Oak, an outpost barely surviving the harsh weather as well as invasions from forces both known and unknown. There, a group of mercenaries at the end of their rope will help bring back this settlement from the edge of destruction. Not only will they have to deal with the harsh elements, but there are other, far more dangerous threats out in the unforgiving cold as well. There are Algox, the bigger, more yeti-like cousins of the Inox, attacking from the mountains; Lurkers flooding in from the northern sea; and rumors of machines that wander the frozen wastes of their own free will. The party of mercenaries must face all of these perils, and perhaps in doing so, make peace with these new races so they can work together against even more sinister forces.&lt;br/&gt;&lt;br/&gt;Frosthaven is a standalone adventure from the designer and publisher of Gloomhaven that features sixteen new characters, three new races, more than twenty new enemies, more than one hundred new items, and a new, 100-scenario campaign.  Characters and items from Gloomhaven will be usable in Frosthaven, and vice versa.&lt;br/&gt;&lt;br/&gt;In addition to having the well-known combat mechanisms of Gloomhaven, Frosthaven will feature much more to do outside of combat, such as numerous mysteries to solve, a seasonal event system to live through, and player control over how this ramshackle village expands, with each new building offering new ways to progress.&lt;br/&gt;&lt;br/&gt;Frosthaven has a whole new set of items but there is a mechanic for bringing items over from 'Gloomhaven'. However, as it is a remote location, these products get imported and are not there as standard. Resources are much more valuable and you have to build items through a crafting system rather than just buy them.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,4,30,120,14,4.3082,2022,"https://boardgamegeek.com/boardgame/295770/frosthaven"
